Gamma	Asphericity	Radius	Volume	Area	MorseEnergy	NormalityEn	CircularityEn	TotalOPSEnergy	RMSAngleDeficit
15129.5	0.0034581	2.21453	41.2516	60.6218	-210	0.211825	0.0974015	-209.69	0.425688
14921.7	0.00345771	2.21453	41.2519	60.6218	-210	0.214769	0.098753	-209.686	0.425662
14716.8	0.00345732	2.21453	41.2521	60.6218	-210	0.217759	0.100117	-209.682	0.425637
14514.6	0.00345692	2.21454	41.2523	60.6218	-210	0.220792	0.1015	-209.677	0.425611
14315.3	0.00345651	2.21454	41.2526	60.6218	-210	0.223866	0.102901	-209.673	0.425584
14118.7	0.0034561	2.21454	41.2528	60.6218	-210	0.226978	0.104328	-209.668	0.425557
13924.8	0.00345569	2.21455	41.2531	60.6218	-210	0.230138	0.105769	-209.664	0.42553
13733.5	0.00345526	2.21455	41.2534	60.6218	-210	0.233343	0.107229	-209.659	0.425502
13544.9	0.00345483	2.21455	41.2536	60.6218	-210	0.236587	0.108714	-209.654	0.425474
13358.9	0.0034544	2.21456	41.2539	60.6218	-210	0.239882	0.110214	-209.649	0.425446
13175.4	0.00345396	2.21456	41.2541	60.6218	-209.999	0.243222	0.111735	-209.645	0.425417
12994.4	0.00345351	2.21456	41.2544	60.6218	-209.999	0.246605	0.113281	-209.64	0.425388
12816	0.00345306	2.21457	41.2547	60.6218	-209.999	0.250039	0.114844	-209.635	0.425358
12640	0.0034526	2.21457	41.255	60.6218	-209.999	0.253521	0.116428	-209.629	0.425328
12466.4	0.00345214	2.21458	41.2553	60.6219	-209.999	0.257045	0.11804	-209.624	0.425297
12295.2	0.00345167	2.21458	41.2555	60.6219	-209.999	0.260624	0.119668	-209.619	0.425267
12126.3	0.00345119	2.21458	41.2558	60.6219	-209.999	0.264249	0.121322	-209.614	0.425235
11959.7	0.0034507	2.21459	41.2561	60.6219	-209.999	0.267929	0.122994	-209.608	0.425203
11795.5	0.00345021	2.21459	41.2564	60.6219	-209.999	0.27166	0.12469	-209.603	0.425171
11633.5	0.00344971	2.21459	41.2567	60.6219	-209.999	0.275437	0.126415	-209.597	0.425139
11473.7	0.00344921	2.2146	41.257	60.6219	-209.999	0.279272	0.128157	-209.592	0.425105
11316.1	0.0034487	2.2146	41.2574	60.6219	-209.999	0.283156	0.129927	-209.586	0.425072
11160.7	0.00344818	2.21461	41.2577	60.6219	-209.999	0.287099	0.131717	-209.58	0.425038
11007.4	0.00344765	2.21461	41.258	60.6219	-209.999	0.291092	0.133536	-209.575	0.425003
10856.2	0.00344712	2.21462	41.2583	60.6219	-209.999	0.295146	0.135375	-209.569	0.424968
10707.1	0.00344657	2.21462	41.2587	60.6219	-209.999	0.299251	0.137244	-209.563	0.424933
10560.1	0.00344602	2.21462	41.259	60.6219	-209.999	0.303418	0.139134	-209.557	0.424897
10415.1	0.00344547	2.21463	41.2593	60.6219	-209.999	0.307638	0.141054	-209.55	0.42486
10272	0.0034449	2.21463	41.2597	60.6219	-209.999	0.311922	0.142996	-209.544	0.424823
10130.9	0.00344433	2.21464	41.26	60.6219	-209.999	0.316259	0.144969	-209.538	0.424786
9991.8	0.00344375	2.21464	41.2604	60.6219	-209.999	0.320663	0.146964	-209.531	0.424748
9854.57	0.00344316	2.21465	41.2607	60.6219	-209.999	0.325123	0.148991	-209.525	0.424709
9719.23	0.00344257	2.21465	41.2611	60.6219	-209.999	0.329651	0.15104	-209.518	0.42467
9585.74	0.00344196	2.21466	41.2615	60.6219	-209.999	0.334234	0.153124	-209.512	0.424631
9454.09	0.00344135	2.21466	41.2618	60.6219	-209.999	0.338889	0.155229	-209.505	0.42459
9324.25	0.00344073	2.21467	41.2622	60.6219	-209.999	0.343601	0.15737	-209.498	0.42455
9196.19	0.0034401	2.21467	41.2626	60.6219	-209.999	0.348386	0.159533	-209.491	0.424508
9069.88	0.00343946	2.21468	41.263	60.6219	-209.999	0.35323	0.161732	-209.484	0.424467
8945.32	0.00343881	2.21468	41.2634	60.6219	-209.999	0.358149	0.163954	-209.477	0.424424
8822.46	0.00343816	2.21469	41.2638	60.6219	-209.999	0.363129	0.166213	-209.47	0.424381
8701.29	0.00343749	2.21469	41.2642	60.6219	-209.999	0.368181	0.1685	-209.462	0.424337
8581.79	0.00343682	2.2147	41.2646	60.6219	-209.999	0.373308	0.170814	-209.455	0.424293
8463.92	0.00343613	2.2147	41.265	60.6219	-209.999	0.378498	0.173167	-209.447	0.424248
8347.68	0.00343544	2.21471	41.2655	60.6219	-209.999	0.383769	0.175544	-209.439	0.424203
8233.03	0.00343474	2.21471	41.2659	60.6219	-209.999	0.389104	0.177961	-209.432	0.424157
8119.96	0.00343402	2.21472	41.2663	60.622	-209.999	0.394518	0.180407	-209.424	0.42411
8008.44	0.0034333	2.21473	41.2668	60.622	-209.999	0.400007	0.182887	-209.416	0.424062
7898.45	0.00343257	2.21473	41.2672	60.622	-209.999	0.405577	0.185395	-209.408	0.424014
7789.97	0.00343182	2.21474	41.2677	60.622	-209.999	0.411215	0.187946	-209.399	0.423966
7682.98	0.00343107	2.21474	41.2681	60.622	-209.999	0.416937	0.190527	-209.391	0.423916
7577.46	0.00343031	2.21475	41.2686	60.622	-209.998	0.422738	0.193143	-209.383	0.423866
7473.39	0.00342953	2.21476	41.2691	60.622	-209.998	0.428619	0.195795	-209.374	0.423815
7370.75	0.00342875	2.21476	41.2696	60.622	-209.998	0.434582	0.198482	-209.365	0.423764
7269.52	0.00342795	2.21477	41.27	60.622	-209.998	0.440628	0.201206	-209.356	0.423711
7169.68	0.00342714	2.21478	41.2705	60.622	-209.998	0.446758	0.203967	-209.348	0.423658
7071.21	0.00342633	2.21478	41.271	60.622	-209.998	0.452974	0.206765	-209.338	0.423605
6974.09	0.0034255	2.21479	41.2716	60.622	-209.998	0.459276	0.2096	-209.329	0.42355
6878.31	0.00342466	2.2148	41.2721	60.622	-209.998	0.465664	0.212475	-209.32	0.423495
